Application ID,Submission ID,Applicant Role,"Association, Cooperative, or Owner",Address Number,Street Direction,Street Name,Street Type,Number of Units,PIN,Vote Date,Recorded Date,Signed Date,Latitude,Longitude,Location
356,PB2016A00356,Authorized Agent,Carl Sandburg Village Condominium Assoc #3,1310-1537,N,Sandburg,TER,60,17-04-209-044-1001-1060,,,08/19/2016,41.906170813,-87.632314875,"(41.90617081331873, -87.63231487543017)"
2019,PB2017A02019,"Lakeview Associates, Inc. (property manager)",,520-526,W,Belden,AVE,51,14-33-104-049-0000,,10/19/2017,10/19/2017,41.923834456,-87.642304403,"(41.92383445629047, -87.6423044028529)"
877,PB2017A00877,Authorized Agent,Erie on the Park Condo Assoc,510,W,Erie,ST,124,17-09-122-010-1001-1365,,,10/12/2016,41.894000521,-87.641949601,"(41.89400052062535, -87.64194960117237)"
2781,PB2019A02781,Manager,,7052-7054,S,Western,AVE,4,19-24-428-041-0000,,10/02/2019,10/02/2019,41.764959497,-87.683395701,"(41.76495949672377, -87.68339570064772)"
2332,PB2018A02332,TREASURER,ARGYLE APARTMENT BUILDING COMPANY,1458-1464,W,ARGYLE,ST,24,14-08-310-024-0000,,06/12/2018,06/12/2018,41.972671571,-87.66693528,"(41.9726715710755, -87.66693527951774)"
2391,PB2018A02391,Chief Financial Officer,,650-652,W,Waveland,AVE,14,14-21-106-011-0000,,10/10/2018,10/10/2018,41.949926092,-87.64646917,"(41.94992609150998, -87.64646917046505)"
3204,PB2021A03204,Board President,1542 West George Street Condominium Association,1542,W,George,ST,2,14-29-120-050-0000,10/14/2021,12/03/2021,12/03/2021,41.934346116,-87.667744825,"(41.93434611566297, -87.66774482479983)"
1083,PB2017A01083,Registered Agent,,7000,S,SOUTH SHORE,DR,178,"20-24-427-005-0000, 20-24-427-008-0000",,02/03/2017,02/03/2017,41.768028469,-87.566649893,"(41.7680284692621, -87.56664989319509)"
1524,PB2017A01524,authorized agent,North Town Village Condo Assoc,1424,N,BURLING,ST,145,17-04-113-100-1006,,08/10/2017,08/10/2017,41.907093458,-87.647506788,"(41.907093457722134, -87.64750678791812)"
1064,PB2017A01064,Registered Agent,,5541,S,Everett,AVE,145,20-13-103-004-0000,,02/02/2017,02/02/2017,41.794034889,-87.582362305,"(41.794034888558464, -87.58236230505194)"
1583,PB2017A01583,Agent,Belgravia Terrace Condo Assoc,410-414,W,Wisconsin,ST,30,14-33-307-071-1001,,08/10/2017,08/10/2017,41.91661249,-87.639245048,"(41.916612489890255, -87.63924504772224)"
3129,PB2021A03129,Kalabich Management and Country Club Apartments,,6924-6950,S,South Shore,DR,178,20-24-420-018 thru 022-0000,,03/30/2021,03/30/2021,41.769130932,-87.56667501,"(41.769130932350706, -87.5666750099999)"
1550,PB2017A01550,authorized agent,North Town Village Condo Assoc,712-716,W,Eastman,ST,145,17-04-113-100-1054,,08/10/2017,08/10/2017,41.906871677,-87.646670003,"(41.90687167670424, -87.64667000252136)"
1052,PB2017A01052,Board President,330 S. Michigan Condo Assoc,330,S,Michigan,AVE,75,17-15-107-045-1001-1097,,02/02/2017,02/02/2017,41.877526085,-87.624447316,"(41.8775260852497, -87.6244473157032)"
3189,PB2021A03189,Owner,,512,W,Wrightwood,AVE,20,14-28-308-031-0000,,11/03/2021,11/03/2021,41.930608237,-87.641995994,"(41.93060823697257, -87.64199599387007)"
2132,PB2018A02132,President,Golden Court Condominium Association,7401-7411,N,Hoyne,AVE,30,11-30-315-001-0000,,02/14/2018,02/14/2018,42.015979122,-87.682862309,"(42.01597912159504, -87.68286230934174)"
230,PB2016A00230,Property Manager,5040-60 N Marine Drive Condominium Assoc,5060,N,Marine,DR,36,14-08-407-022-1168-1203,,,08/09/2016,41.975141584,-87.651817225,"(41.975141584032094, -87.65181722476525)"
563,PB2016A00563,Owner,,1934,W,Dickens,AVE,9,14-31-208-043-0000,,,09/15/2016,41.919703955,-87.6766142,"(41.919703954759555, -87.67661420017019)"
190,PB2016A00190,Authorized Agent,Berwyn Court,2910-2920,W,Berwyn,AVE,21,13-12-115-048-1001,,,08/01/2016,41.977734215,-87.701905699,"(41.97773421463022, -87.70190569905618)"
1887,PB2017A01887,authorized agent,,1430,S,Federal,ST,1,17-21-211-040-0000,,09/11/2017,09/11/2017,41.863222541,-87.629521569,"(41.86322254103429, -87.62952156924285)"
631,PB2016A00631,Authorized Agent,Chelsea Townhomes,1137 #7,W,Monroe,ST,1,17-17-210-061-0000,,,09/22/2016,41.880235292,-87.656141443,"(41.88023529222652, -87.6561414427707)"
2090,PB2017A02090,Property Manager,901 S Plymouth Ct Condominium Association,901,S,Plymouth,CT,120,17-16-424-004-1001-1120,06/06/2017,12/04/2017,12/04/2017,41.870500911,-87.6284461,"(41.870500910761905, -87.6284461002255)"
66,PB2016A00066,Authorized Agent,Zen Condo Assoc,225,S,Sangamon,ST,82,17-17-220-028-1001-1171,,06/29/2007,07/22/2016,41.878376397,-87.650608917,"(41.87837639690936, -87.65060891699603)"
140,PB2016A00140,Board President,4300 Marine Drive Condo Assoc,4300,N,Marine,DR,90,14-16-300-027-1001-1090,,07/28/2016,08/02/2016,41.961048296,-87.646971344,"(41.96104829587564, -87.64697134397929)"
1429,PB2017A01429,Property Manager,,959,W,Webster,AVE,21,14-32-217-001-0000,,07/18/2017,07/18/2017,41.921629709,-87.653423974,"(41.92162970911281, -87.65342397353342)"
458,PB2016A00458,Authorized Agent,Schiller Place Homeowners Assoc,1401,N,Wieland,ST,39,17-04-203-110-0000,,,08/08/2016,41.90773931,-87.635451688,"(41.90773930990543, -87.63545168786175)"
1456,PB2017A01456,PROPERTY MANAGER,,1415,W,BELLE PLAINE,AVE,7,14-17-313-019-0000,,07/20/2017,07/20/2017,41.956066625,-87.664977271,"(41.956066625432854, -87.66497727066375)"
1896,PB2017A01896,authorized agent,,1439,S,Clark,ST,1,17-21-211-031-0000,,09/11/2017,09/11/2017,41.862917877,-87.630135103,"(41.86291787745333, -87.63013510268883)"
2706,PB2019A02706,Manager,,2650,N,Marshfield,AVE,2,14-30-404-035-0000,,10/02/2019,10/02/2019,41.930168474,-87.669683176,"(41.93016847446299, -87.66968317581271)"
67,PB2016A00067,Authorized Agent,Metro Condo Assoc,1200,W,Monroe,ST,136,17-17-105-070-1001-1156,,05/30/2003,07/22/2016,41.880437344,-87.657224748,"(41.88043734364833, -87.65722474814983)"
335,PB2016A00335,Property Manager,5201-09 S. Blackstone Condominium Assoc,5201-5209,S,Blackstone,AVE,18,20-11-411-029-1001-1021,,,08/03/2016,41.800920514,-87.590326437,"(41.80092051359096, -87.59032643652647)"
1040,PB2017A01040,authorized agent,7314-20 N. Honore Condo Assoc,7314-7320,N,Honore,ST,29,11-30-419-032-1001-1029,,02/01/2017,02/01/2017,42.014228078,-87.676858302,"(42.014228077717455, -87.67685830181524)"
218,PB2016A00218,Authorized Agent,Summerdale Court Condominium Assoc,2921-2931,W,Summerdale,AVE,21,13-12-115-049-1002,,,08/01/2016,41.978427954,-87.702326635,"(41.97842795373461, -87.70232663487388)"
1545,PB2017A01545,authorized agent,North Town Village Condo Assoc,721,W,Blackhawk,ST,145,17-04-113-100-1047,,08/10/2017,08/10/2017,41.907141871,-87.646958082,"(41.90714187128771, -87.64695808237171)"
1326,PB2017A01326,Registered Agent,,3915-3921,N,Fremont,ST,19,14-20-207-001-0000,,04/28/2017,04/28/2017,41.953197881,-87.651934472,"(41.95319788134131, -87.65193447185894)"
1271,PB2017A01271,Registered Agent,,2739-2741,N,Hampden,CT,6,14-28-309-007-0000,,03/27/2017,03/27/2017,41.931892221,-87.642027962,"(41.9318922208422, -87.64202796236661)"
749,PB2016A00749,Owner,Punch Bowl LLC Park Lincoln by Reside,2470,N,Clark,ST,139,14-28-316-049-0000,,,10/11/2016,41.927278454,-87.641653885,"(41.92727845429446, -87.64165388533182)"
1104,PB2017A01104,Registered Agent,1022 West Dakin LLC,1022,W,Dakin,ST,14,"14-20-201-021-0000, 14-20-201-033-1008, 14-20-201-033-1008, 14-20-201-033-1005, 14-20-201-033-1009, 14-20-201-033-1006, 14-20-201-033-1010, 14-20-201-033-1007, 14-20-201-033-1004",02/14/2017,02/14/2017,02/14/2017,41.95360767,-87.655426048,"(41.95360767047118, -87.65542604795503)"
564,PB2016A00564,Property Manager,Carolina Condominium Assoc,6610-6618,S,Kenwood,AVE,35,20-23-223-042-1001-1031 and 20-23-223-039-1001-1025,,08/31/2016,09/21/2016,41.774705951,-87.59308912,"(41.77470595092749, -87.5930891198166)"
710,PB2016A00710,Registered Agent,1331 West Loyola LLC,1331,W,Loyola,AVE,46,11-32-320-004-0000,10/05/2016,,10/06/2016,42.001266001,-87.664792073,"(42.001266001073795, -87.66479207255216)"
1890,PB2017A01890,authorized agent,,1433,S,Clark,ST,1,17-21-211-033-0000,,09/11/2017,09/11/2017,41.863076836,-87.630139256,"(41.863076835591045, -87.63013925588454)"
61,PB2016A00061,Board President,State Parkway Condominium Assoc,1445,N,State,PKWY,160,17-03-102-042-1001-1084,,,07/27/2016,41.909075364,-87.628672901,"(41.90907536390903, -87.62867290149421)"
1383,PB2017A01383,attorney,Columbia Place Townhomes Condo Assoc,1716-1724,W,Surf,ST,64,14-30-223-276-1001-1064,,06/19/2017,06/19/2017,41.934072541,-87.671976376,"(41.93407254145918, -87.67197637556713)"
253,PB2016A00253,Authorized Agent,1250 N Dearborn Condominium Assoc,1250,N,Dearborn,ST,100,17-04-223-089-1001-1100,,,07/30/2016,41.905379014,-87.630174553,"(41.905379013702905, -87.63017455348202)"
194,PB2016A00194,Authorized Agent,Lunt Ave Condo & Health Club,1327-1339,W,Lunt,AVE,38,11-32-114-034-1001,,,08/01/2016,42.009033941,-87.664768281,"(42.00903394067994, -87.6647682806523)"
2093,PB2017A02093,authorized agent,1344 N Dearborn Private Residences CA,1344,N,Dearborn,ST,93,17-04-217-136-1001-1094,12/04/1917,12/13/2017,12/13/2017,41.90705491,-87.630227946,"(41.90705490968797, -87.6302279456854)"
1563,PB2017A01563,authorized agent,North Town Village Condo Assoc,1407-1409,N,Burling,ST,145,17-04-113-100-1078-1079,,08/10/2017,08/10/2017,41.906570262,-87.647198963,"(41.90657026237563, -87.64719896266452)"
2248,PB2018A02248,Property Manager,,1743,W,Erie,ST,9,17-07-214-007-0000,,04/03/2018,04/03/2018,41.893166032,-87.671354583,"(41.89316603227851, -87.6713545832666)"
2543,PB2019A02543,Manager,,3507,N,Racine,AVE,27,14-20-401-002-0000,,07/01/2019,07/01/2019,41.945552796,-87.658982155,"(41.945552795829215, -87.6589821548287)"
717,PB2016A00717,Registered Agent,Pine Grove Property LLC,2828,N,Pine Grove,AVE,106,14-28-123-007-0000,10/05/2016,,10/06/2016,41.93372585,-87.641519207,"(41.933725849551045, -87.64151920710367)"
891,PB2017A00891,Authorized Agent,West Haven Park Homes CA,2238,W,Maypole,AVE,,17-07-321-048-1044-1051,,,08/08/2016,41.884028176,-87.68288136,"(41.88402817587232, -87.6828813595438)"
1645,PB2017A01645,Agent,"Southport-Warner Properties, Inc.",4138,N,Southport,AVE,9,14-17-309-046-0000,,08/11/2017,08/11/2017,41.957309903,-87.664440565,"(41.95730990304232, -87.66444056488693)"
2415,PB2018A02415,President,3738 Clifton Condominiums,3738,N,Clifton,AVE,3,14202150531000,,11/12/2018,11/12/2018,41.950141775,-87.657689957,"(41.950141775194886, -87.65768995691155)"
3183,PB2021A03183,Owner,,3110-3112,N,Sheffield,AVE,11,14-29-203-029-0000,,11/03/2021,11/03/2021,41.938426741,-87.654202031,"(41.93842674063546, -87.65420203147254)"
3187,PB2021A03187,Owner,,901-905,W,Argyle,ST,75,14-08-412-007-0000,,11/03/2021,11/03/2021,41.973235201,-87.652651596,"(41.973235200725384, -87.65265159554943)"
1582,PB2017A01582,authorized agent,North Town Village Condo Assoc,1327,N,Halsted,ST,145,17-04-113-100-1138-1145,,08/10/2017,08/10/2017,41.905877617,-87.647993762,"(41.90587761720444, -87.64799376183083)"
2495,PB2019A02495,Lavinia Shimkus,,6830-6834,N,Ashland,BLVD,18,11-31-226-041-0000,,03/28/2019,03/28/2019,42.006320011,-87.670128261,"(42.00632001138462, -87.67012826102)"
116,PB2016A00116,Authorized Agent,Cedar Street Corporation,70,E,Cedar,ST,29,17-03-201-055-0000,,,08/01/2016,41.902525588,-87.625650213,"(41.9025255879348, -87.62565021340713)"
1710,PB2017A01710,AUTHORIZED AGENT,HARTLAND PARK TOWNHOMES I HOA,2614-2650,N,HERMITAGE,AVE,35,14304031410000,,08/11/2017,08/11/2017,41.929052844,-87.672156415,"(41.92905284393822, -87.67215641493408)"
146,PB2016A00146,Authorized Agent,Prairie House at Central Station,1515,S,Prairie,AVE,186,17-22-110-107-1101-1468,,,08/03/2016,41.861572783,-87.620664238,"(41.8615727832991, -87.62066423805882)"
971,PB2017A00971,Authorized Agent,North Shore Manor Condo Assoc,1325-1333,W,North Shore,AVE,32,11-32-312-024-1001-1031,01/19/2017,,01/20/2017,42.003379588,-87.664623425,"(42.00337958805526, -87.66462342467238)"
725,PB2016A00725,Owner,Wolfs Liar LLC Reside at Belmont Harbor,426,W,Belmont,AVE,98,14-21-314-038-0000,,,10/11/2016,41.940209294,-87.640696569,"(41.940209294460516, -87.64069656931218)"
2124,PB2018A02124,Property Manager,Plaza 440 Private Residences Condominium Association,440,N,Wabash,AVE,457,17-10-127-019-1001 thru 1850,,01/26/2018,01/26/2018,41.890486444,-87.62682446,"(41.890486444371895, -87.62682446028889)"
657,PB2016A00657,Authorized Agent,Chelsea Townhomes,109,S,Racine,AVE,1,17-17-210-035-0000,,,09/22/2016,41.880027411,-87.656943376,"(41.880027410959286, -87.65694337571706)"
1195,PB2017A01195,Vice President,,2630,N,Hampden,CT,67,"14-28-318-022-0000, 14-28-318-023-0000, 14-28-318-024-0000",,03/03/2017,03/03/2017,41.930067337,-87.641278223,"(41.93006733716706, -87.64127822283523)"
251,PB2016A00251,Authorized Agent,400 N La Salle Condominium Assoc,400,N,La Salle,DR,448,17-09-259-022-1001-1453,,,08/15/2016,41.889225372,-87.632674115,"(41.88922537162015, -87.63267411498495)"
946,PB2017A00946,Authorized Agent,Buena Vista Condos,4150,N,Sheridan,RD,40,14-17-404-061-1001-1073,,,12/15/2016,41.958032079,-87.654792597,"(41.95803207931796, -87.65479259687751)"
2976,PB2019A02976,manager,,1801,W,erie,ST,5,17-07-213-022-0000,,10/30/2019,10/30/2019,41.8931501,-87.6722079,"(41.893150100433274, -87.67220790009935)"
1511,PB2017A01511,Registered Agent,,2925,N,WOLCOTT,AVE,999,99999999999999,,08/10/2017,08/10/2017,41.934941914,-87.675629715,"(41.93494191392968, -87.67562971490248)"
555,PB2016A00555,Authorized Agent,Lincoln Park 2550 Condominium Assoc,2550,N,Lakeview,AVE,219,14-28-319-112-1001-1219,,06/16/2014,09/20/2016,41.929464433,-87.639403958,"(41.92946443263831, -87.63940395820882)"
531,PB2016A00531,Authorized Agent,University Commons of Chicago Condominium Assoc,5700-5710,S,Kimbark,AVE,32,20-14-214-026-1001 thru 20-14-214-030-1001,,08/09/2016,08/15/2016,41.791369821,-87.594982974,"(41.79136982121422, -87.59498297406789)"
330,PB2016A00330,Property Manager,Catherine Court Condominium Assoc,8439-8503,W,Catherine,AVE,499,12-11-119-038-1001-1512,,,08/03/2016,41.977350381,-87.838288121,"(41.97735038102216, -87.83828812075606)"
440,PB2016A00440,Authorized Agent,227 E Walton Condominium Assoc,24,E,Walton,ST,24,17-03-214-013-1001-1026,,03/03/2016,08/24/2016,41.90006579,-87.627204814,"(41.90006578991141, -87.62720481390988)"
352,PB2016A00352,Authorized Agent,Museum Park Tower I Condominium Assoc,1322,S,Prairie,AVE,221,17-22-110-100-1001-1221,,,08/19/2016,41.865355593,-87.621541084,"(41.86535559251647, -87.62154108390382)"
642,PB2016A00642,Authorized Agent,Chelsea Townhomes,1137 #18,W,Monroe,ST,1,17-17-210-050-0000,,,09/22/2016,41.880235292,-87.656141443,"(41.88023529222652, -87.6561414427707)"
1497,PB2017A01497,Property Manager,,1500,N,Elk Grove,AVE,9,17-06-200-046-0000,,08/04/2017,08/04/2017,41.909313286,-87.674223131,"(41.909313285999055, -87.67422313066722)"
288,PB2016A00288,Property Manager,3611 W Montrose Condominium Assoc,3611,W,Montrose,AVE,34,13-14-307-006-0000,,,08/03/2016,41.960954348,-87.718519385,"(41.960954347903765, -87.71851938472402)"
2527,PB2019A02527,Attorney,1610 S. Carpenter Street Condominium Association,1610,S,Carpenter,ST,5,17-20-400-055-0000 and 17-20-400-056-0000,01/25/2019,06/05/2019,06/05/2019,41.859449162,-87.653571583,"(41.85944916191175, -87.6535715828509)"
1739,PB2017A01739,authorized agent,Dearborn Park Unit One Townhomes,1061,S,Park,TER,144,17-16-423-002-0000,07/13/2016,08/14/2017,08/14/2017,41.869718549,-87.629905194,"(41.86971854911251, -87.62990519414915)"
699,PB2016A00699,Registered Agent,Lincoln II LLC,1939,N,Lincoln,AVE,59,14-33-400-012-0000,10/05/2016,,10/06/2016,41.917554686,-87.637516559,"(41.91755468644488, -87.63751655856579)"
226,PB2016A00226,Property Manager,Lawrence Shores Condominium Assoc,827-835,W,Lawrence,AVE,24,14-17-205-057-1001-1023,,08/03/2016,08/08/2016,41.969027022,-87.65126947,"(41.96902702198943, -87.65126947034847)"
373,PB2016A00373,Property Manager,65 E. Goethe Condominium Assoc,65,E,Goethe,ST,21,17-03-110-012-0000,,,08/04/2016,41.905736512,-87.626185729,"(41.90573651214896, -87.62618572862607)"
815,PB2017A00815,Authorized Agent,"Hard Slab LLC Reside at 823, Reside at 849, Reside on Clarendon",4157,N,Clarendon,AVE,,14-16-304-001-0000,,,10/11/2016,41.957279867,-87.649632771,"(41.95727986668652, -87.64963277110186)"
459,PB2016A00459,Authorized Agent,625 Wrightwood Condominium Assoc,625,W,Wrightwood,AVE,87,14-28-313-060-1001-1144,,,08/08/2016,41.929296651,-87.643853743,"(41.92929665121568, -87.6438537428094)"
2312,PB2018A02312,Owner,,2648,W,Iowa,ST,6,16-01-421-023-0000,,04/25/2018,04/25/2018,41.897604309,-87.693778058,"(41.8976043090514, -87.69377805795875)"
1899,PB2017A01899,authorized agent,,1445,S,Clark,ST,1,17-21-211-018-0000,,09/11/2017,09/11/2017,41.862759023,-87.630131055,"(41.86275902289559, -87.63013105548283)"
2092,PB2017A02092,property manager,Bank Note Place Condo Assoc,120,E,Cullerton,ST,118,17-22-307-110-1001-1239,,12/11/2017,12/11/2017,41.855614908,-87.622880284,"(41.85561490792959, -87.62288028362399)"
511,PB2016A00511,Authorized Agent,Cityview Condominium Assoc,440-448,N,McClurg,CT,421,17-10-219-034-1001-1761,,,08/16/2016,41.889816848,-87.617777334,"(41.889816847972206, -87.61777733414253)"
1092,PB2017A01092,authorized agent,Old Town Village East,1205-1255,N,Orleans,ST,46,17-04-220-096-1002-1048,,02/06/2017,02/06/2017,41.904269659,-87.637379839,"(41.90426965850286, -87.63737983876075)"
1518,PB2017A01518,authorized agent,North Town Village Condo Assoc,1414,N,Burling,ST,145,17-04-113-100-1001,,08/10/2017,08/10/2017,41.906771926,-87.647497844,"(41.906771925766435, -87.64749784381665)"
692,PB2016A00692,Registered Agent,Delaware II LLC,25,E,Delaware,PL,144,17-03-216-005-0000,10/05/2016,,10/06/2016,41.899050673,-87.627098441,"(41.899050672508466, -87.62709844112322)"
3180,PB2021A03180,Owner,,1828-1838,W,Lawrence,AVE,42,14-07-418-008-0000,,11/03/2021,11/03/2021,41.968911208,-87.675749004,"(41.968911207677046, -87.67574900421596)"
1381,PB2017A01381,attorney,Columbia Place Townhomes Condo Assoc,2901-2905,N,Hermitage,AVE,64,14-30-223-276-1001-1064,,06/19/2017,06/19/2017,41.934208164,-87.672300563,"(41.934208164121095, -87.67230056339808)"
460,PB2016A00460,Authorized Agent,625-33 W. Barry Condominium Assoc,625-633,W,Barry,AVE,30,14-28-107-078-1001-1030,,,08/17/2016,41.937778982,-87.645335032,"(41.9377789821393, -87.6453350316051)"
1451,PB2017A01451,PROPERTY MANAGER,,845-849,W,SHERIDAN,RD,8,14-20-214-003-0000,,07/20/2017,07/20/2017,41.952611367,-87.651419393,"(41.952611366696445, -87.65141939329096)"
966,PB2017A00966,Registered Agent,Lake Shore Toers Cooperative Building Corp,3920,N,Lake Shore,DR,29,14-21-101-016-0000,08/08/2016,,08/19/2016,41.953622854,-87.645212986,"(41.953622854070325, -87.6452129862204)"
2628,PB2019A02628,Manager,,847,N,Winchester,AVE,6,17-06-434-006-0000,,09/30/2019,09/30/2019,41.897356062,-87.675725,"(41.89735606233676, -87.67572500041797)"
1841,PB2017A01841,Owner,,2239,N,Clybourn,AVE,1,14-32-108-012-0000,,09/01/2017,09/01/2017,41.922444973,-87.665341268,"(41.92244497291765, -87.66534126834917)"
943,PB2017A00943,Registered Agent,Lake Point Tower Condo Assoc,505,N,Lake Shore,DR,875,17-10-214-016-1001-1876,07/21/2016,,12/19/2016,41.891279293,-87.614107533,"(41.89127929349215, -87.61410753333017)"
2819,PB2019A02819,Manager,,5123-5135,S,University,AVE,43,20-11-305-006-0000,,10/02/2019,10/02/2019,41.801599002,-87.59808017,"(41.80159900162472, -87.59808017005575)"
2984,PB2019A02984,manager,,2749-2761,N,sawyer,AVE,17,13-26-407-001-0000,,10/30/2019,10/30/2019,41.931600732,-87.708484539,"(41.93160073237841, -87.70848453932916)"
1651,PB2017A01651,President,Six North Michigan,2-6,N,Michigan,AVE,119,17-10-312-017-1001-1235,,08/11/2017,08/11/2017,41.882164167,-87.624514274,"(41.88216416733022, -87.62451427362218)"
790,PB2016A00790,Authorized Agent,110 E. Delaware Condo Assoc,110,E,Delaware,PL,68,17-03-211-022-1070,10/13/2016,,10/13/2016,41.899298578,-87.625598385,"(41.89929857768738, -87.62559838527199)"
59,PB2016A00059,Board President,1120 Lake Shore Drive Building Corporation,1120,N,Lake Shore,DR,61,17-03-201-063-0000,,,07/29/2016,41.903177276,-87.624890724,"(41.90317727563051, -87.62489072443124)"
542,PB2016A00542,President,Beacon Square Condominium Assoc,4716-4724,N,Beacon,ST,37,14-17-102-030-1001-1037,,09/05/2016,09/19/2016,41.967658591,-87.664355741,"(41.967658590696885, -87.66435574093941)"
260,PB2016A00260,Authorized Agent,Brompton Pine Grove Condominium Assoc,3519,N,Pine Grove,AVE,6,14-21-112-011-1008-1013,,,08/17/2016,41.946709825,-87.644645157,"(41.946709825023554, -87.6446451565365)"
2608,PB2019A02608,Manager,,1201,W,Addison,ST,12,14-20-306-020-0000,,09/30/2019,09/30/2019,41.94703777,-87.659226099,"(41.94703776996781, -87.65922609927532)"
1622,PB2017A01622,Property Manager,Wrightwood and Seminary Condo Assn,2546-2552,N,Seminary,AVE,18,14-29-414-040-1001,,08/10/2017,08/10/2017,41.92854138,-87.656289583,"(41.92854138048722, -87.65628958332148)"
2618,PB2019A02618,Manager,,1910,W,Sunnyside,AVE,6,14-18-213-018-0000,,09/30/2019,09/30/2019,41.963419624,-87.676548108,"(41.96341962416375, -87.67654810798422)"
756,PB2016A00756,Authorized Agent,PPF AMLI Lofts REIT,850,S,Clark,ST,398,"17-16-411-020-0000, 17-16-411-021-0000, 17-16-411-005-0000, 17-16-411-006-0000, 17-16-411-007-0000",,,10/19/2016,41.871350222,-87.630732811,"(41.871350222228244, -87.63073281141747)"
12,PB2016A00012,Authorized Agent,Pinnacle Condominium Assoc.,21,E,Huron,ST,213,17-10-107-016-1001-1213,,11/01/2004,07/19/2016,41.89478018,-87.627217241,"(41.8947801798193, -87.62721724116876)"
753,PB2016A00753,President,Six North Michigan,6,N,Michigan,AVE,119,17-10-312-017-1001-1235,,,07/26/2016,41.882248223,-87.624516537,"(41.88224822273601, -87.62451653747559)"
1579,PB2017A01579,authorized agent,North Town Village Condo Assoc,1326-1338,N,Burling,ST,145,17-04-113-100-1119-1125,,08/10/2017,08/10/2017,41.905650725,-87.647467738,"(41.9056507250167, -87.64746773805439)"
2026,PB2017A02026,"Lakeview Associates, Inc (property manager)",,2340,N,Commonwealth,AVE,42,14-33-200-006-0000,,10/23/2017,10/23/2017,41.925020212,-87.638238128,"(41.92502021193639, -87.63823812752963)"
2329,PB2018A02329,President,Albany Place Condominium Association,3100,W,diversey,AVE,7,13-25-130-040-0000,03/22/2018,06/08/2018,06/08/2018,41.93215027,-87.705043064,"(41.932150269542745, -87.70504306436882)"
126,PB2016A00126,Authorized Agent,1252 Eddy Condominium Assoc,1254,W,Eddy,ST,12,14-20-306-041-1001-1019,,07/19/2016,07/29/2016,41.94629956,-87.661302939,"(41.94629955991829, -87.66130293882327)"
2121,PB2018A02121,Property Manager,Bucktown Ironwerks Condominium Association,1670,N,Claremont,AVE,30,14-31-326-073-1001 to 14-31-326-073-1030,01/23/2018,01/24/2018,01/24/2018,41.912314004,-87.686200223,"(41.91231400404291, -87.68620022265665)"
645,PB2016A00645,Authorized Agent,Chelsea Townhomes,1137 #21,W,Monroe,ST,1,17-17-210-047-0000,,,09/22/2016,41.880235292,-87.656141443,"(41.88023529222652, -87.6561414427707)"
552,PB2016A00552,President,Buckingham Condominium Assoc,360,E,Randolph,ST,303,17-10-318-031-1002-1317,,,08/01/2016,41.88462754,-87.618643072,"(41.8846275399825, -87.6186430717123)"
1051,PB2017A01051,Registered Agent,Sheffield-Lill Townhouse Condominium,2520,N,Sheffield,AVE,20,14-29-418-039-1001-1020,11/21/2016,02/02/2017,02/02/2017,41.927864099,-87.653841462,"(41.927864099321354, -87.65384146221673)"
411,PB2016A00411,Property Manager,720 Gordon Terrace Condominium Assoc,720,W,Gordon,TER,268,14-16-303-035-1001-1110          14-16-303-035-1112-1125           14-16-303-035-1127-1144          14-16-303-035-1146-1270,,08/03/2016,08/04/2016,41.95798236,-87.648264986,"(41.957982360475725, -87.64826498606156)"
3220,PB2022A03220,Property Manager,The Darien Apt Condominium Association,3100,N,Lake Shore,DR,226,14-28-201-015-1000,,02/18/2022,02/18/2022,41.937771263,-87.637455976,"(41.93777126333811, -87.63745597579715)"
435,PB2016A00435,Registered Agent,Aldine Condominium Assoc,420,W,Aldine,AVE,71,14-21-310-063-0000,,,08/15/2016,41.942388045,-87.640791573,"(41.942388045491306, -87.64079157261153)"
265,PB2016A00265,Agent,Dearborn-Elm Condominium Assoc,1155,N,Dearborn,ST,39,17-04-407-016-1001-1117,,,08/08/2016,41.903446946,-87.629824898,"(41.90344694644998, -87.62982489848619)"
931,PB2017A00931,President,3014 N Sheffield Condo Assoc,3014,N,Sheffield,AVE,8,14-29-210-056-1001-1008,12/19/2016,,12/19/2016,41.936721705,-87.654144221,"(41.936721704741316, -87.65414422089265)"
164,PB2016A00164,Authorized Agent,Hawthorne Point Condominium Assoc,1511-1525,W,Cullom,AVE,31,14-17-303-036-1001-1038,,,08/03/2016,41.959671038,-87.66818867,"(41.95967103788722, -87.66818866964154)"
2757,PB2019A02757,Manager,,6248-6254,S,Western,AVE,15,19-13-431-036-0000,,10/02/2019,10/02/2019,41.779591182,-87.683796773,"(41.77959118231671, -87.6837967727161)"
2242,PB2018A02242,Property Manager,,3830-3834,W,Irving Park,RD,13,13-14-328-035-0000,,04/03/2018,04/03/2018,41.953813287,-87.724005147,"(41.95381328703704, -87.72400514652853)"
1601,PB2017A01601,Agent,Greenview-Schreiber Condos,1508-1510,W,Schreiber,AVE,15,11-32-323-019-1001,,08/10/2017,08/10/2017,41.999109335,-87.668382162,"(41.999109334999076, -87.66838216224932)"
865,PB2017A00865,Owner,Lawndale Apartments,4118,W,15th,ST,,16-22-220-022-0000,,,08/29/2016,41.86075641,-87.72834162,"(41.86075640952147, -87.72834161971072)"
